"simulation","mean_words_per_extracted_text_block"
1039,292.638888888889
1040,294.361111111111
1041,309.25
1042,276.083333333333
1043,314.027777777778
1044,306.666666666667
1045,274.166666666667
1046,273.888888888889
1047,321.972222222222
1048,374.416666666667
1049,362.611111111111
1050,323.333333333333
1051,322.805555555556
1052,336.361111111111
1053,257.5
1054,277.305555555556
1055,292.861111111111
1056,276.472222222222
1057,297.111111111111
1058,289.361111111111
1059,348.666666666667
1060,296.416666666667
1061,374.944444444444
1062,345.444444444444
1063,270.583333333333
1064,301.25
1065,310.666666666667
1066,280.277777777778
1067,229.888888888889
1068,378.722222222222
1069,323.222222222222
1070,322.277777777778
1071,361.75
1072,320.222222222222
1073,256.833333333333
1074,286.722222222222
1075,315.972222222222
1076,337.305555555556
1077,339.277777777778
1078,377.055555555556
1079,254.027777777778
1080,376.527777777778
1081,287.166666666667
1082,269.666666666667
1083,298.111111111111
1084,298.083333333333
1085,243.138888888889
1086,298.944444444444
1087,361.694444444444
1088,288.888888888889
1089,267.638888888889
1090,264.722222222222
1091,287.666666666667
1092,311.972222222222
1093,259.916666666667
1094,321.805555555556
1095,317.166666666667
1096,267.305555555556
1097,246.694444444444
1098,407.722222222222
1099,273.194444444444
1100,289.444444444444
1101,327.75
1102,287.611111111111
1103,287.166666666667
1104,317.888888888889
1105,300.194444444444
1106,291.833333333333
1107,304.611111111111
1108,235
1109,291.916666666667
1110,339.722222222222
1111,284.388888888889
1112,339.222222222222
1113,323.361111111111
1114,286.972222222222
1115,287.805555555556
1116,317.916666666667
1117,340.583333333333
1118,284.888888888889
1119,295.916666666667
1120,269.694444444444
1121,401.861111111111
1122,320.111111111111
1123,311.444444444444
1124,310.277777777778
1125,338.444444444444
1126,291.277777777778
1127,337.277777777778
1128,290.083333333333
1129,362.555555555556
1130,230.277777777778
1131,333.5
1132,311.416666666667
1133,209.333333333333
1134,343.222222222222
1135,332.694444444444
1136,322.305555555556
1137,289.305555555556
1138,345.916666666667
1139,309.944444444444
1140,263.138888888889
1141,343.916666666667
1142,264.138888888889
1143,280.25
1144,271.444444444444
1145,313.777777777778
1146,265.888888888889
1147,266.416666666667
1148,325.083333333333
1149,289.611111111111
1150,340.777777777778
1151,266.361111111111
1152,310.805555555556
1153,374.333333333333
1154,304.666666666667
1155,294.861111111111
1156,297.305555555556
1157,316.166666666667
1158,286.388888888889
1159,321.583333333333
1160,296.111111111111
1161,295.194444444444
1162,306.083333333333
1163,281.527777777778
1164,248.666666666667
1165,357.861111111111
1166,284.861111111111
1167,345.166666666667
